repository,notD_num_code_files,notD_total_lines_of_code,notD_num_modules,notD_pretrained_models,notD_shell_scripts,notD_lists_in_readme,notD_code_blocks_in_readme,notD_inline_code_in_readme,notD_images_in_readme,notD_github_links_in_readme,notD_has_license,notD_diversity,notD_total_contributors,notD_Num_Star,notD_Num_Fork,notD_Num_Watcher,Date_Created,Date_Last_Mod,notD_Num_Issue,notD_Num_Issue_Type,notD_Num_Issue_Open,notD_Num_Issue_Closed,notD_Num_PR_Open,notD_Num_PR_Closed,language,,repository,D_num_code_files,D_total_lines_of_code,D_num_modules,D_pretrained_models,D_shell_scripts,D_lists_in_readme,D_code_blocks_in_readme,D_inline_code_in_readme,D_images_in_readme,D_github_links_in_readme,D_has_license,D_diversity,D_total_contributors,D_Num_Star,D_Num_Fork,D_Num_Watcher,Date_Created,Date_Last_Mod,D_Num_Issue,D_Num_Issue_Type,D_Num_Issue_Open,D_Num_Issue_Closed,D_Num_PR_Open,D_Num_PR_Closed,D_language
tancik/StegaStamp,6,1282,2,0,0,6,9,7,1,3,Yes,not-diverse,2,709,197,17,2019-04-08 19:17:34+00:00,2025-01-10 15:12:48+00:00,66,8,31,35,0,0,Python,,afshinrahimi/mmner,5,2425,2,5,0,0,14,0,0,1,Yes,diverse,2,85,9,6,2019-02-02 04:25:15+00:00,2024-08-08 23:19:00+00:00,5,8,2,3,0,1,Python
dmsm/DeepParametricShapes,19,1906,4,0,0,0,8,3,0,0,Yes,not-diverse,2,54,9,6,2019-09-18 19:59:15+00:00,2024-07-24 08:02:42+00:00,2,10,1,1,0,3,Python,,clic-lab/scone,26,4620,2,0,0,8,1,10,0,1,No,diverse,2,7,3,3,2018-05-12 00:37:26+00:00,2022-06-22 21:44:49+00:00,0,9,0,0,1,5,Python
lzqsd/InverseRenderingOfIndoorScene,26,7986,0,0,3,27,0,25,5,3,Yes,not-diverse,2,304,35,13,2020-06-16 17:06:33+00:00,2024-12-22 01:19:13+00:00,18,9,11,7,0,0,Python,,Justin1904/Low-rank-Multimodal-Fusion,5,1122,1,0,0,0,2,17,0,0,No,diverse,2,258,47,8,2018-05-12 06:11:04+00:00,2025-01-09 14:04:57+00:00,26,8,11,15,0,1,Python
SLDGroup/NN_Mass,12,2776,3,0,1,19,7,0,0,1,Yes,not-diverse,2,4,2,1,2021-03-27 23:08:05+00:00,2023-07-25 07:13:44+00:00,0,9,0,0,2,0,Python,,cocodataset/panopticapi,13,1492,5,0,0,0,1,3,0,2,No,diverse,3,427,185,10,2018-06-27 13:00:46+00:00,2024-12-29 03:34:19+00:00,49,8,34,15,10,4,Python
anonymous-p/Flickering_Adversarial_Video,122,25502,3,0,1,13,14,25,1,1,No,not-diverse,2,15,6,2,2020-02-06 23:52:53+00:00,2024-12-10 03:17:44+00:00,5,10,4,1,19,24,Python,,JingchunCheng/FAVOS,19,3135,8,0,2,6,4,2,1,2,No,diverse,3,182,28,13,2018-03-16 02:11:39+00:00,2024-01-04 16:21:29+00:00,6,8,2,4,0,0,Python
Howal/Cross-iterationBatchNorm,192,19925,3,0,1,6,3,0,0,1,Yes,not-diverse,2,130,21,6,2020-02-13 09:02:22+00:00,2024-05-12 04:39:12+00:00,10,9,5,5,0,0,Python,,XiaoxiaoGuo/fashion-iq,36,5759,4,0,0,2,1,0,0,1,No,diverse,3,149,40,3,2019-06-05 17:07:24+00:00,2024-12-23 15:18:25+00:00,17,9,11,6,1,3,Python
Boyiliee/MoEx,8,3110,4,0,0,6,1,1,1,1,Yes,not-diverse,2,142,19,9,2020-02-08 00:42:42+00:00,2024-11-14 12:39:32+00:00,4,9,1,3,0,0,Python,,lyndonzheng/TFill,34,5249,9,0,0,14,22,1,8,5,Yes,diverse,3,162,15,12,2021-04-05 01:03:28+00:00,2024-11-17 12:42:39+00:00,29,9,18,11,0,1,Python
ShuhangGu/DASR,88,12847,1,0,0,11,8,34,0,3,No,not-diverse,2,237,21,9,2020-03-30 12:16:53+00:00,2025-01-07 11:59:42+00:00,22,9,20,2,0,0,Python,,ruqizhang/csgmcmc,21,2164,3,0,0,9,10,4,0,3,No,diverse,3,92,23,7,2019-02-02 20:07:45+00:00,2024-11-16 14:26:57+00:00,5,8,3,2,0,0,Jupyter Notebook
tobran/DF-GAN,15,2521,2,0,0,22,5,15,7,8,No,not-diverse,2,308,70,7,2020-08-14 02:53:40+00:00,2024-12-24 07:52:58+00:00,37,9,14,23,1,0,Python,,mlii/mfrl,88,10155,2,0,0,7,4,9,1,3,Yes,diverse,3,380,100,10,2018-06-07 07:35:55+00:00,2025-01-03 03:40:46+00:00,30,8,21,9,0,3,Python
chirag126/VOG,4,751,2,0,0,0,0,14,0,0,No,not-diverse,2,61,6,3,2020-08-28 19:01:31+00:00,2024-11-23 04:10:59+00:00,4,10,1,3,0,2,Python,,openseg-group/openseg.pytorch,209,37152,5,0,0,19,1,0,5,15,Yes,diverse,3,1194,140,40,2019-01-21 03:34:59+00:00,2025-01-06 12:03:26+00:00,100,9,27,73,1,1,Python
