repository,notD_num_code_files,notD_total_lines_of_code,notD_num_modules,notD_pretrained_models,notD_shell_scripts,notD_lists_in_readme,notD_code_blocks_in_readme,notD_inline_code_in_readme,notD_images_in_readme,notD_github_links_in_readme,notD_has_license,notD_diversity,notD_total_contributors,notD_Num_Star,notD_Num_Fork,notD_Num_Watcher,Date_Created,Date_Last_Mod,notD_Num_Issue,notD_Num_Issue_Type,notD_Num_Issue_Open,notD_Num_Issue_Closed,notD_Num_PR_Open,notD_Num_PR_Closed,language,,repository,D_num_code_files,D_total_lines_of_code,D_num_modules,D_pretrained_models,D_shell_scripts,D_lists_in_readme,D_code_blocks_in_readme,D_inline_code_in_readme,D_images_in_readme,D_github_links_in_readme,D_has_license,D_diversity,D_total_contributors,D_Num_Star,D_Num_Fork,D_Num_Watcher,Date_Created,Date_Last_Mod,D_Num_Issue,D_Num_Issue_Type,D_Num_Issue_Open,D_Num_Issue_Closed,D_Num_PR_Open,D_Num_PR_Closed,D_language
adler-j/bwgan,2,424,0,0,0,0,1,1,0,2,No,not-diverse,2,31,11,5,2018-05-23 14:36:48+00:00,2024-05-31 23:27:33+00:00,1,8,0,1,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/svcca,5,794,2,0,0,0,0,0,0,4,Yes,not-diverse,2,628,140,25,2017-11-07 02:56:49+00:00,2025-01-09 08:14:58+00:00,0,8,0,0,7,3,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirthevasank/nasbot,78,13896,6,0,1,13,6,26,0,13,No,not-diverse,2,133,27,11,2018-06-09 15:14:57+00:00,2024-10-25 20:54:54+00:00,8,8,5,3,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ding-Liu/NLRN,9,1161,3,0,0,0,6,6,0,5,Yes,not-diverse,2,169,39,14,2018-10-25 18:32:57+00:00,2024-09-20 09:12:02+00:00,0,8,0,0,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpapamak/maf,24,5049,2,0,0,14,3,8,0,2,No,not-diverse,2,207,36,8,2017-05-19 13:46:53+00:00,2025-01-02 09:50:26+00:00,12,8,0,12,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-hofer/persistent_homology_toolbox,12,1721,2,0,0,0,4,24,0,5,Yes,not-diverse,2,26,6,4,2017-06-06 08:14:55+00:00,2024-07-26 15:50:19+00:00,2,7,1,1,0,1,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
probprog/bopp,14,977,5,0,0,5,4,25,0,1,No,not-diverse,2,114,18,9,2016-12-01 19:41:57+00:00,2024-09-05 00:11:40+00:00,2,7,2,0,0,0,Clojure,,,,,,,,,,,,,,,,,,,,,,,,,,,
mattjj/svae,33,2404,3,0,0,5,0,0,0,2,No,not-diverse,2,351,87,27,2016-03-21 21:00:28+00:00,2024-11-27 18:55:02+00:00,15,7,10,5,2,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp2893/retain,3,1067,1,0,0,0,0,20,1,0,Yes,not-diverse,2,213,79,6,2016-08-24 18:50:09+00:00,2024-11-21 07:44:35+00:00,9,7,4,5,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdeff/cnn_graph,4,1836,3,0,0,5,5,0,0,2,No,not-diverse,2,1344,390,44,2016-09-13 18:59:32+00:00,2025-01-12 15:30:39+00:00,54,7,18,36,2,2,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzmsltw/BSN-boundary-sensitive-network.pytorch,12,1851,4,0,1,9,11,6,0,5,No,not-diverse,2,249,59,7,2018-12-12 07:59:00+00:00,2024-12-03 07:10:53+00:00,32,8,9,23,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
naiq/PN_GAN,24,3068,2,0,0,3,0,13,1,2,No,not-diverse,2,139,39,10,2018-01-18 12:29:03+00:00,2024-09-13 12:53:46+00:00,0,8,0,0,0,0,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
holistic-video-understanding/HVU-Dataset,0,0,0,0,0,0,1,0,0,1,No,not-diverse,2,70,9,14,2019-11-14 15:04:37+00:00,2024-05-13 13:54:52+00:00,13,9,2,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HobbitLong/CMC,13,2834,2,0,0,18,7,42,1,2,Yes,not-diverse,2,1311,180,28,2019-06-13 10:32:11+00:00,2024-12-26 08:27:55+00:00,70,9,25,45,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
alievk/npbg,30,5596,5,0,0,22,9,33,0,6,Yes,not-diverse,2,326,52,14,2020-04-05 15:23:47+00:00,2025-01-07 11:30:55+00:00,39,9,16,23,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
barisgecer/TBGAN,20,5157,1,0,0,21,6,34,0,2,No,not-diverse,2,245,38,21,2019-09-05 03:19:57+00:00,2024-12-04 20:40:46+00:00,12,9,1,11,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-hayes/REMIND,41,6136,3,0,0,46,8,51,1,2,Yes,not-diverse,2,82,23,11,2020-06-23 15:25:58+00:00,2024-11-27 06:20:41+00:00,5,9,1,4,1,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiahaowork/idam,4,727,0,0,0,0,1,0,2,2,Yes,not-diverse,2,42,3,2,2020-02-12 02:59:54+00:00,2024-11-20 06:40:11+00:00,3,9,2,1,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiangzhengkai/LSTS,79,33060,5,0,1,0,8,5,1,3,No,not-diverse,2,88,7,8,2020-07-03 05:20:43+00:00,2024-10-11 03:46:48+00:00,8,9,0,8,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairnas/FairNAS,10,800,3,0,1,4,3,0,6,0,No,not-diverse,2,303,57,16,2019-07-02 01:56:39+00:00,2024-06-18 09:42:38+00:00,8,10,7,1,2,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
yinboc/few-shot-meta-baseline,58,16175,6,0,0,6,4,33,0,3,Yes,not-diverse,2,625,107,8,2020-01-12 01:11:38+00:00,2025-01-11 16:45:53+00:00,51,9,13,38,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
njuhuojing/mast,14,3387,5,0,0,1,6,9,2,2,No,not-diverse,2,44,6,1,2021-08-13 07:44:08+00:00,2024-10-23 12:45:57+00:00,6,9,2,4,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgcnsai/ps-kd-pytorch,19,2630,5,0,0,17,6,7,2,0,Yes,not-diverse,2,83,14,1,2021-10-08 08:26:11+00:00,2024-12-02 02:16:55+00:00,6,9,1,5,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
hendrycks/imagenet-r,23,4526,2,1,0,0,0,0,0,0,Yes,not-diverse,2,258,18,8,2020-02-28 21:05:47+00:00,2024-12-13 10:08:29+00:00,9,9,2,7,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
loyoyang/decota,8,1087,5,0,0,0,9,0,0,1,No,not-diverse,2,16,6,2,2020-06-12 01:05:44+00:00,2024-11-13 15:19:45+00:00,2,10,1,1,3,3,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
hansen7/OcCo,83,10772,5,0,0,0,8,9,1,12,Yes,not-diverse,2,240,26,8,2020-08-02 15:50:11+00:00,2025-01-06 09:11:54+00:00,27,9,11,16,1,11,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
panji530/Robust-shape-interaction-matrix,0,0,0,0,0,0,0,0,0,1,Yes,not-diverse,2,2,3,0,2017-08-17 02:31:25+00:00,2024-05-24 14:20:22+00:00,0,7,0,0,0,0,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
aosokin/cnn_head_detection,25,10163,4,0,0,0,31,1,0,3,Yes,not-diverse,2,206,80,20,2015-11-26 13:47:51+00:00,2024-06-23 19:42:23+00:00,11,7,3,8,0,0,Matlab,,,,,,,,,,,,,,,,,,,,,,,,,,,
szq0214/DSOD,8,4515,0,0,0,8,7,16,0,9,Yes,not-diverse,2,707,207,45,2017-08-03 19:36:24+00:00,2025-01-11 18:17:03+00:00,43,7,11,32,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiangtaoxie/MPN-COV,59,25743,7,0,0,8,6,13,1,5,Yes,not-diverse,2,75,27,7,2017-09-28 07:30:03+00:00,2024-12-16 02:31:14+00:00,3,8,0,3,0,1,Cuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
mahyarnajibi/SSH,27,2271,4,0,0,0,49,0,1,2,Yes,not-diverse,2,838,279,49,2017-09-25 19:18:05+00:00,2025-01-10 13:34:37+00:00,62,8,37,25,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarun005/USSS_ICCV19,6,1949,1,0,0,0,0,0,0,3,No,not-diverse,2,71,10,3,2019-08-17 05:50:46+00:00,2024-09-20 13:31:12+00:00,5,9,0,5,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
OasisYang/SSG,53,6317,2,0,1,4,5,1,1,3,No,not-diverse,2,187,42,8,2019-08-03 23:54:00+00:00,2024-04-16 06:24:23+00:00,37,9,24,13,1,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
vineetjohn/linguistic-style-transfer,44,4003,2,0,0,33,16,27,0,4,Yes,not-diverse,2,139,32,5,2018-02-02 23:24:57+00:00,2024-10-17 21:00:32+00:00,72,5,3,69,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunlp/DIAG-NRE,19,5282,4,0,0,17,4,9,0,0,Yes,not-diverse,2,58,14,7,2019-06-02 12:44:00+00:00,2024-12-18 12:46:07+00:00,1,9,0,1,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikitakit/self-attentive-parser,35,8307,4,0,0,13,14,112,0,6,Yes,not-diverse,2,878,155,20,2018-04-27 07:49:32+00:00,2025-01-04 10:16:28+00:00,98,8,45,53,2,9,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
butnaruandrei/MOROCO,3,373,1,0,0,29,5,4,0,1,Yes,not-diverse,2,6,1,6,2018-12-20 08:39:57+00:00,2022-03-23 14:00:06+00:00,0,8,0,0,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
codogogo/xling-eval,9,651,2,0,0,4,1,0,0,0,No,not-diverse,2,28,6,0,2019-06-03 10:05:56+00:00,2024-07-31 02:02:51+00:00,2,9,1,1,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
lancopku/Global-Encoding,358,6026,4,0,0,4,5,0,0,0,Yes,not-diverse,2,275,65,12,2018-05-10 12:40:17+00:00,2024-10-27 11:35:57+00:00,36,8,15,21,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group-TanakaIshii/word_taylor,1,167,0,0,0,0,0,0,0,0,No,not-diverse,2,4,0,2,2018-05-10 09:08:44+00:00,2025-01-06 16:11:37+00:00,0,8,0,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiesutd/LatticeLSTM,15,2496,4,0,2,0,0,5,0,2,No,not-diverse,2,1801,453,42,2018-04-22 14:23:20+00:00,2025-01-06 06:53:35+00:00,135,8,10,125,2,4,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
duorc/duorc,7,1236,2,0,0,0,2,2,0,0,Yes,not-diverse,2,15,3,2,2018-04-24 08:13:53+00:00,2024-11-12 11:38:17+00:00,2,9,0,2,1,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
snakeztc/NeuralDialog-CVAE,10,1627,4,0,0,6,0,0,0,1,Yes,not-diverse,2,309,85,13,2017-07-23 02:05:31+00:00,2024-12-01 11:26:13+00:00,17,7,7,10,0,2,OpenEdge ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,
wanghm92/Sing_Par,34,5196,6,0,0,23,10,65,0,2,Yes,not-diverse,2,19,6,2,2016-12-26 03:43:00+00:00,2024-01-04 16:10:03+00:00,1,7,0,1,1,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
coolsunxu/sophie,6,769,2,0,0,4,1,7,0,0,No,not-diverse,3,56,25,2,2020-06-10 23:26:11+00:00,2025-01-07 06:31:39+00:00,0,9,0,0,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
xingyul/flownet3d,21,3344,4,0,3,4,5,23,0,5,Yes,not-diverse,3,366,83,13,2019-04-15 21:06:26+00:00,2025-01-01 08:14:44+00:00,54,8,18,36,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
danini/magsac,14,5196,8,0,0,5,5,5,3,2,Yes,not-diverse,3,438,65,19,2019-04-01 14:40:23+00:00,2024-12-31 08:21:42+00:00,30,8,7,23,1,6,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,
javiribera/locating-objects-without-bboxes,25,5385,2,0,0,3,2,9,0,0,No,not-diverse,3,251,51,12,2019-04-04 05:05:54+00:00,2024-10-25 18:33:35+00:00,50,8,23,27,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
aimagelab/novelty-detection,31,3461,6,0,0,4,7,9,1,1,Yes,not-diverse,3,196,60,12,2018-11-15 19:28:38+00:00,2024-08-12 19:43:21+00:00,16,9,9,7,1,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
verlab/SemanticFastForward_CVPR_2018,69,13553,8,0,0,11,6,54,5,2,Yes,not-diverse,3,8,7,9,2018-04-23 16:54:42+00:00,2022-05-12 03:54:36+00:00,2,8,2,0,0,0,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,
uber/sbnet,26,4799,1,0,0,0,14,28,0,2,No,not-diverse,3,435,91,21,2017-12-19 16:37:57+00:00,2024-12-22 01:42:39+00:00,25,8,3,22,1,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
akanimax/msg-stylegan-tf,29,6742,4,0,0,4,0,21,0,15,No,not-diverse,3,264,57,13,2019-10-16 15:59:34+00:00,2025-01-13 09:55:55+00:00,13,9,3,10,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
HikariTJU/LD,815,88738,12,0,0,7,12,6,0,11,Yes,not-diverse,3,366,53,5,2021-01-20 08:19:27+00:00,2025-01-12 07:39:52+00:00,81,9,37,44,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
vikasverma1077/manifold_mixup,52,8783,3,0,0,0,1,0,0,1,No,not-diverse,3,486,63,11,2018-06-12 13:26:05+00:00,2024-11-26 08:15:04+00:00,16,8,8,8,1,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
ftramer/slalom,562,195452,6,0,1,0,6,8,0,1,Yes,not-diverse,3,162,41,9,2018-02-17 00:02:32+00:00,2024-12-05 03:47:21+00:00,36,9,2,34,5,23,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml4tp/gamepad,51,11842,4,0,7,0,16,13,0,0,Yes,not-diverse,3,72,15,9,2018-05-31 07:01:00+00:00,2024-11-07 14:15:17+00:00,13,9,10,3,2,0,Coq,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-kidger/signatory,72,9705,6,0,0,0,0,12,0,3,Yes,not-diverse,3,265,35,12,2019-06-11 18:43:15+00:00,2025-01-03 15:28:09+00:00,32,8,17,15,3,32,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,
reactive-systems/deepltl,16,3134,2,0,0,6,8,3,0,1,Yes,not-diverse,3,31,4,8,2020-06-11 18:16:13+00:00,2024-10-04 09:09:40+00:00,3,9,1,2,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
denisyarats/drq,6,981,2,0,0,0,10,3,2,4,Yes,not-diverse,3,412,53,13,2020-04-29 01:29:33+00:00,2025-01-13 17:48:36+00:00,26,9,2,24,1,1,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
pclucas14/GansFallingShort,29,5394,5,0,0,8,0,4,0,4,No,not-diverse,3,58,11,6,2018-08-07 16:22:45+00:00,2024-07-10 07:36:59+00:00,8,8,0,8,0,2,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
gifford-lab/optivax,11,6157,7,0,0,0,1,0,0,0,Yes,not-diverse,3,22,8,16,2020-05-12 14:39:45+00:00,2024-01-17 21:12:41+00:00,3,9,1,2,0,0,OpenEdge ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucfra/RFHO,25,7724,2,0,1,19,2,34,1,7,Yes,not-diverse,3,51,12,5,2017-04-20 23:56:28+00:00,2024-10-05 20:13:13+00:00,2,7,1,1,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
huangwl18/modular-rl,50,4684,2,0,0,19,11,3,0,2,Yes,not-diverse,3,222,35,11,2020-07-09 18:16:48+00:00,2024-12-14 10:53:30+00:00,10,10,5,5,8,11,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
shentianxiao/text-autoencoders,8,693,1,0,1,5,6,8,1,0,Yes,not-diverse,3,206,43,9,2019-05-28 04:52:38+00:00,2025-01-12 04:20:55+00:00,6,8,4,2,1,7,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
ermongroup/a-nice-mc,48,2021,4,0,0,12,6,39,5,1,Yes,not-diverse,3,126,28,15,2017-06-11 17:09:42+00:00,2024-06-26 14:37:11+00:00,4,7,1,3,0,4,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCSL/FALKON_paper,2,177,3,0,0,14,5,48,0,1,No,not-diverse,3,29,7,7,2017-05-30 17:14:49+00:00,2024-07-02 06:16:46+00:00,1,7,1,0,0,0,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdevon/IRVI,46,8349,6,0,0,0,0,0,0,0,No,not-diverse,3,6,1,8,2016-02-10 01:41:56+00:00,2018-01-20 15:54:45+00:00,0,7,0,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidaw/polymom,59,9704,8,0,0,0,1,0,0,3,No,not-diverse,3,4,4,3,2015-12-06 10:50:37+00:00,2022-04-18 17:33:02+00:00,0,7,0,0,0,0,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogroth/shapestacks,28,7905,11,0,2,3,36,0,1,2,Yes,not-diverse,3,46,11,5,2018-04-19 15:08:45+00:00,2024-10-17 12:06:15+00:00,4,9,1,3,7,25,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertjiazheng/Structured3D,10,1462,3,0,0,2,8,1,4,3,Yes,not-diverse,3,549,62,16,2019-05-09 10:48:43+00:00,2025-01-05 15:32:16+00:00,53,8,7,46,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovaai/tunit,17,3926,6,0,0,66,13,0,6,1,Yes,not-diverse,3,457,48,13,2020-06-14 08:31:55+00:00,2024-12-16 23:23:24+00:00,34,10,1,33,1,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
speedinghzl/CCNet,23,3074,5,0,1,3,6,2,3,11,Yes,not-diverse,3,1438,276,29,2018-11-26 19:39:02+00:00,2025-01-09 13:18:28+00:00,116,9,65,51,0,6,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunlp/Character-enhanced-Sememe-Prediction,11,962,0,0,5,6,6,9,0,2,Yes,not-diverse,3,26,3,7,2018-05-06 15:30:57+00:00,2024-11-05 18:01:51+00:00,1,8,1,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandropezzelle/fill-in-the-quant,16,3356,4,0,0,0,0,0,1,0,No,not-diverse,3,2,1,2,2018-01-26 10:32:22+00:00,2018-09-17 12:00:10+00:00,1,8,1,0,0,5,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
boknilev/nmt-repr-analysis,15,3799,5,0,0,25,2,31,0,1,Yes,not-diverse,3,36,5,8,2017-01-06 18:41:24+00:00,2024-01-04 16:10:20+00:00,1,7,0,1,0,9,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
microth/PathLSTM,277,37300,3,0,0,6,0,11,0,0,No,not-diverse,3,71,14,10,2016-06-06 06:48:27+00:00,2024-07-19 03:11:51+00:00,18,8,0,18,2,6,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,
cvlab-dresden/DSAC,26,7964,1,1,1,0,0,0,0,1,No,not-diverse,4,343,87,21,2017-04-24 13:12:43+00:00,2024-11-28 07:43:36+00:00,16,7,0,16,0,3,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShichenLiu/CondenseNet,9,1438,1,0,1,3,7,5,0,0,Yes,not-diverse,4,694,130,24,2017-09-26 01:03:24+00:00,2024-08-08 11:22:22+00:00,39,8,11,28,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
princeton-computational-imaging/SeeingThroughFog,46,5086,3,0,1,10,12,0,0,1,Yes,not-diverse,4,314,61,12,2020-06-08 18:57:50+00:00,2025-01-08 12:33:08+00:00,75,9,27,48,1,7,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
alldbi/SuperMix,38,4865,7,0,0,29,9,56,1,4,No,not-diverse,4,92,21,6,2020-01-01 17:36:10+00:00,2024-12-16 12:57:18+00:00,7,9,1,6,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
openai/random-network-distillation,17,3247,1,0,0,0,1,1,0,0,No,not-diverse,4,888,161,26,2018-10-16 20:28:02+00:00,2025-01-08 01:58:23+00:00,20,8,12,8,4,4,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
brendenpetersen/deep-symbolic-regression,66,13649,2,0,0,13,36,136,0,0,Yes,not-diverse,4,615,127,16,2020-02-19 19:47:51+00:00,2025-01-13 22:11:13+00:00,85,10,9,76,3,7,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
borgwardtlab/togl,27,4337,5,4,0,0,7,22,0,0,No,not-diverse,4,119,22,10,2021-01-11 13:06:05+00:00,2024-12-18 22:27:46+00:00,18,9,1,17,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
chhwang/cmcl,9,890,1,0,3,16,0,23,0,2,Yes,not-diverse,4,17,4,3,2017-05-23 04:34:17+00:00,2024-11-06 02:30:28+00:00,3,7,2,1,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
emtiyaz/vadam,69,11046,3,0,0,0,0,0,0,0,No,not-diverse,4,110,23,9,2018-06-07 06:49:14+00:00,2024-09-30 12:39:26+00:00,5,8,3,2,0,1,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision-CAIR/LTVRR,172,24499,4,0,0,18,14,31,2,3,Yes,not-diverse,4,35,6,7,2020-04-01 19:43:02+00:00,2024-01-04 16:44:13+00:00,10,9,8,2,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alibaba-MIIL/ASL,14,1326,3,0,0,9,7,0,3,10,Yes,not-diverse,4,739,102,11,2020-09-29 12:40:13+00:00,2025-01-12 02:16:42+00:00,90,12,19,71,1,10,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
torrvision/crfasrnn,1,206,2,0,0,0,16,3,2,11,Yes,not-diverse,4,1345,460,82,2015-09-30 19:47:15+00:00,2025-01-12 14:35:20+00:00,155,7,46,109,1,5,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebookresearch/low-shot-shrink-hallucinate,15,1774,2,0,0,0,0,23,0,0,Yes,not-diverse,4,309,69,13,2017-05-25 23:10:20+00:00,2024-09-19 12:53:47+00:00,15,9,10,5,0,3,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/tf_mesh_renderer,9,9458,2,0,1,0,1,3,0,0,Yes,not-diverse,5,495,112,32,2018-01-04 21:48:05+00:00,2024-11-15 02:41:45+00:00,0,8,0,0,0,3,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA/flowtron,16,2973,3,0,0,1,0,16,1,8,Yes,not-diverse,5,897,176,29,2020-04-30 23:02:47+00:00,2025-01-10 10:52:53+00:00,142,10,65,77,11,6,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
junyanz/BicycleGAN,25,2933,8,0,0,31,19,18,0,12,Yes,not-diverse,5,1492,254,48,2017-11-14 04:12:01+00:00,2025-01-02 03:04:26+00:00,94,8,21,73,0,8,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuriousAI/mean-teacher,52,4906,2,0,0,7,0,0,1,1,No,not-diverse,5,1594,337,57,2017-05-15 09:29:00+00:00,2025-01-13 06:04:26+00:00,59,7,39,20,0,4,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
malllabiisc/WordGCN,6,1643,3,0,0,26,5,20,0,9,Yes,not-diverse,5,291,64,14,2019-05-17 04:15:25+00:00,2024-12-10 13:08:48+00:00,29,9,2,27,2,14,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
declare-lab/MELD,4,529,4,0,0,35,8,6,2,7,Yes,not-diverse,5,848,207,29,2018-09-29 13:00:10+00:00,2025-01-13 20:27:21+00:00,48,8,30,18,0,5,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebookresearch/hypernymysuite,9,1352,2,0,2,0,0,25,0,0,Yes,not-diverse,5,153,22,61,2018-05-09 16:58:27+00:00,2024-04-03 05:50:12+00:00,10,10,1,9,0,7,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
DmitryUlyanov/texture_nets,0,0,4,0,0,7,12,32,12,4,Yes,not-diverse,6,1227,216,58,2016-03-07 11:53:05+00:00,2024-12-19 14:37:39+00:00,91,7,42,49,0,7,Lua,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI-ML/packnet-sfm,202,63246,6,0,0,2,20,12,0,4,No,not-diverse,6,1249,245,58,2019-12-06 01:08:19+00:00,2025-01-12 15:29:35+00:00,228,9,72,156,7,17,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
vtjeng/MIPVerify.jl,0,0,6,0,0,12,1,6,4,4,No,not-diverse,6,114,32,4,2017-12-15 21:38:31+00:00,2025-01-03 04:49:53+00:00,30,10,3,27,0,135,Julia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft/graph-based-code-modelling,42,11919,2,0,0,27,9,53,0,0,Yes,not-diverse,6,170,38,13,2019-01-10 16:11:27+00:00,2024-10-04 00:48:46+00:00,7,10,1,6,3,6,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,
MahyarNajibi/SNIPER,72,38832,6,0,0,0,57,0,0,6,Yes,not-diverse,6,2691,447,82,2018-01-13 14:45:42+00:00,2025-01-13 06:42:02+00:00,184,8,114,70,2,6,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft/Multilingual-Model-Transfer,13,2996,3,0,0,4,6,0,0,3,Yes,not-diverse,6,77,22,8,2018-10-29 23:22:22+00:00,2024-11-14 01:34:28+00:00,11,8,0,11,0,4,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
xingyul/flownet3d,21,3344,4,0,3,4,5,23,0,5,Yes,not-diverse,3,366,83,13,2019-04-15 21:06:26+00:00,2025-01-01 08:14:44+00:00,54,8,18,36,0,2,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
